GPA_year1,GPA_year2,age,chooseUTM,compsurv,control,credits_earned1,credits_earned2,dad1,dad2,dad_edn,english,female,finish4,goodstanding_year1,goodstanding_year2,gpa0,graddeg,grade_20059_fall,hcom,hsgroup,lastmin,lm_never,lm_rarely,mathsci,mom1,mom2,mom_edn,mtongue,noshow,numcourses_nov1,prob_year1,prob_year2,sex,sfp,sfp_p,sfpany,sfpany_p,sfsp,sfsp_p,signup,ssp,ssp_p,totcredits_year1,used_adv,used_fsg,used_ssp,work1
2.58,3.49,18,0,1,1,2.5,3.5,1,1,complete,0,1,0,1,1,78.3,0,73,1,2,rarely,0,1,1,1,0,attended,Other,0,4,0,0,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
3.55,2.96,17,0,1,0,3.5,3.5,1,1,complete,1,1,0,1,1,84.3,0,77,1,3,rarely,0,1,3,1,1,complete,English,0,5,0,0,F,1,1,1,1,0,0,1,0,0,5,0,0,0,0
3.75,3.31,19,0,1,1,3,4.5,1,1,complete,0,0,1,1,1,85.5,1,76,1,3,usually,0,0,5,1,1,complete,Other,0,5,0,0,M,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.37,2.62,18,0,1,1,3.5,2.5,1,1,complete,0,1,1,1,1,76.5,1,72,1,2,often,0,0,0,1,1,complete,Other,0,4,0,0,F,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0
1.68,2.47,19,0,1,1,2.5,3.5,1,1,complete,1,1,1,1,1,74.3,1,,1,1,never,1,0,1,1,1,complete,English,0,6,0,0,F,0,0,0,0,0,0,0,0,0,5,0,0,0,0
1.79,2.27,18,1,1,0,3,4,1,0,graduate,1,1,1,1,1,81.5,0,71,1,3,rarely,0,1,1,1,1,complete,English,0,3,0,0,F,1,1,1,1,0,0,1,0,0,4,0,0,0,0
2.03,2.08,18,0,1,0,4,4.5,1,1,complete,0,1,1,1,1,83.2,0,67,1,3,usually,0,0,3.5,1,0,complete,Other,0,5,0,0,F,0,0,1,1,1,1,1,0,0,5,1,0,1,0
2.11,2.43,18,0,1,0,2.5,3.5,1,0,graduate,1,0,1,1,1,85.6,1,65,1,3,often,0,0,3,1,0,graduate,English,0,4,0,0,M,1,1,1,1,0,0,1,0,0,4,0,0,0,0
2.05,3.05,18,0,1,1,2.5,4,0,0,did not,1,0,1,1,1,81.7,0,65.5,1,3,occasion,0,0,1,1,0,graduate,English,0,5,0,0,M,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0
1.14,1.13,18,0,1,0,1,2.5,1,1,complete,0,1,1,0,0,77.2,1,,1,2,occasion,0,0,0,1,1,complete,Other,0,4,0,0,F,1,1,1,1,0,0,1,0,0,3.5,0,0,0,0
0.43,,18,0,1,1,1,0,0,0,don t kn,1,1,1,0,0,79.3,1,,1,2,occasion,0,0,2,0,0,don t kn,English,0,6,1,1,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1.25,,18,0,1,1,2.5,0,1,1,complete,1,0,1,0,0,76.2,1,67,1,1,occasion,0,0,1,1,1,complete,English,0,6,1,1,M,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.13,2.01,19,0,1,0,1.5,3,1,0,complete,1,1,1,0,1,80.3,1,,1,2,occasion,0,0,0,1,0,complete,English,0,4,0,0,F,0,0,0,0,0,0,1,1,1,3,1,0,1,0
1.93,1.21,18,0,1,0,2,2.5,1,1,complete,0,1,1,1,1,71.5,0,,1,1,often,0,0,0,1,1,complete,Other,0,5,0,0,F,0,0,1,1,1,1,1,0,0,4,0,1,1,0
3,3.41,18,0,1,1,2.5,3.5,1,1,complete,1,1,1,1,1,84.2,1,75,1,3,never,1,0,0,1,0,graduate,English,0,5,0,0,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1.29,2.14,18,0,1,1,3.5,3.5,1,0,complete,0,1,1,0,1,81.3,0,60,0,3,occasion,0,0,0,1,0,attended,Other,0,5,1,0,F,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.25,2.7,18,0,1,0,3.5,3.5,1,1,complete,0,0,1,1,1,82,1,63,1,3,occasion,0,0,3,1,0,graduate,Other,0,5,0,0,M,0,0,0,0,0,0,1,1,1,5,1,0,1,0
1.35,,18,1,1,0,2.5,0,0,0,did not,1,1,1,0,0,82.3,0,59,1,3,often,0,0,3,1,0,complete,English,0,4,1,1,F,0,0,0,0,0,0,1,1,1,4,0,1,1,0
3.01,1.95,18,1,1,0,2,2,1,1,complete,1,0,1,0,1,84.8,1,82,0,3,often,0,0,0,1,0,complete,English,0,6,0,0,M,0,0,1,0,1,0,0,0,0,3.5,0,0,0,0
1.88,,18,0,1,1,2.5,0,1,0,graduate,1,1,1,1,0,85.8,0,67,1,3,never,1,0,2,1,0,complete,English,0,5,0,1,F,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.34,3.6,19,0,1,0,3,5,0,0,did not,1,1,1,1,1,85.3,0,67,0,3,often,0,0,3,1,0,graduate,English,0,5,0,0,F,0,0,0,0,0,0,1,1,1,5,1,1,1,0
1.24,0.59,19,1,1,1,2.5,1.5,1,0,complete,1,0,1,0,0,75.5,1,55.5,0,1,occasion,0,0,0,1,1,complete,English,0,5,0,1,M,0,0,0,0,0,0,0,0,0,4,0,0,0,0
0.38,0.83,18,0,1,1,1,2,1,0,graduate,1,0,1,0,0,74.3,1,54,1,1,occasion,0,0,2,1,0,complete,English,0,5,1,0,M,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1.98,1.63,18,0,1,1,3,3.5,1,0,complete,1,1,1,1,1,73.7,0,71,0,1,occasion,0,0,1,1,1,complete,English,0,6,0,0,F,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.45,1.82,21,0,1,1,3.5,4.5,1,0,complete,1,0,1,1,1,81.3,1,63,0,3,rarely,0,1,3,1,0,graduate,English,0,6,0,0,M,0,0,0,0,0,0,0,0,0,5,0,0,0,0
1.59,0.66,19,0,1,1,3.5,2,1,0,graduate,1,0,1,1,0,73,1,68.5,1,1,usually,0,0,1.5,1,0,complete,English,0,6,0,1,M,0,0,0,0,0,0,0,0,0,5,0,0,0,0
0.89,1.55,18,0,1,1,2,2.5,1,1,complete,0,1,1,0,0,73.5,1,59,1,1,often,0,0,3,1,0,complete,Other,0,6,1,0,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2.72,2.78,17,0,1,0,3.5,3.5,0,0,don t kn,1,0,1,1,1,84.5,1,75,0,3,occasion,0,0,1,0,0,don t kn,English,0,5,0,0,M,1,1,1,1,0,0,1,0,0,5,0,0,0,0
3.14,3.33,18,0,1,1,2.5,3,1,1,complete,0,0,1,1,1,80,1,70.5,1,2,often,0,0,1,1,1,complete,Other,0,6,0,0,M,0,0,0,0,0,0,0,0,0,4,0,0,0,0
